Vehicle Manufacturer,Segment,Vehicle Model,Fuel,Capacity Ah @ C20,Livguard Brand,Livguard Battery Model,Warranty in Months (Flat + Prorata),Product Name,Loyalty Points
CHEVROLET,CAR,OPEL CORSA,Petrol,55,Zing,LGM HH DIN55,24+24*,Zing LGM HH DIN55,1
CHEVROLET,CAR,OPEL ASTRA,Petrol,55,Zing,LGM HH DIN55,24+24*,Zing LGM HH DIN55,1
